Stylosanthes gracilis
Stylosanthes guianensis
Stylosanthes scabra
Stylosanthes viscosa
Tephrosia purpurea
Teramnus volubilis
Vachellia farnesiana
Vigna juruana
Vigna lasiocarpa
Vigna longifolia
Vigna luteola
Zornia guanipensis
Zornia latifolia
Coutoubea ramosa
Coutoubea spicata
Curtia tenuifolia
Irlbachia alata
Irlbachia purpurascens
Schultesia benthamiana
Schultesia brachyptera
Schultesia gracilis
Schultesia guianensis
Schultesia optera
Drymonia coccinea
Sinningia elatior
Schiekia orinocensis
Laurembergia tetrandra
Myriophyllum aquaticum
Myriophyllum elatinoides
Proserpinaca palustris
Heliconia marginata
Heliconia psittacorum
Apalanthe granatensis
Egeria densa
Egeria najas
Elodea canadensis
Halophila decipiens
Hydrilla verticillata
Limnobium laevigatum
Najas argurta
Najas conferta
Najas guadalupensis
Najas marina
Najas microcarpa
Najas microdon
Ottelia brasiliensis
Hydrolea elatior
Hydrolea spinosa
Hypericum brasiliense
Hypericum mutilum
Vismia cayennensis
Curculigo scorzonerifolia
Hypoxis decumbens
Cipura paludosa
Sisyrinchium micranthum
Sisyrinchium vaginatum
Isoetes brasiliensis
Isoetes ekmanii
Juncus acutus
Juncus bufonius
Juncus capillaceus
Juncus densiflorus
Juncus dichotomus
Juncus dombeyanus
Juncus effusus
Juncus marginatus
Juncus microcephalus
Juncus sellowianus
Juncus scirpoides
Lilaea scilloides
Triglochin striata
Hyptis atrorubens
Hyptis brevipes
Hyptis caespitosa
Hyptis dilatata
Hyptis fasciculata
Hyptis lacustris
Hyptis lagenaria
Hyptis lantaniifolia
Hyptis lappacea
Hyptis lorentziana
Hyptis mutabilis
Hyptis parkeri
Hyptis recurvata
Hyptis spicigera
Hyptis suaveolens
Hyptis tetracephala
Hyptis vilis
Marsypianthes chamaedrys
Ocimum campechianum
Prunella vulgaris
Salvia arenaria
Salvia scabrida
Scutellaria minor
Vitex cymosa
Vitex megapotamica
Cassytha filiformis
Genlisea filiformis
Utricularia adpressa
Utricularia breviscapa
Utricularia cucculata
Utricularia erectiflora
Utricularia fimbriata
Utricularia foliosa
Utricularia gibba
Utricularia guyanensis
Utricularia hydrocarpa
Utricularia inflata
Utricularia juncea
Utricularia laciniata
Utricularia laxa
Utricularia myriocista
Utricularia nana
Utricularia neottioides
Utricularia nervosa
Utricularia nigrescens
Utricularia olivacea
Utricularia physoceras
Utricularia praelonga
Utricularia poconensis
Utricularia pusilla
Utricularia reniformis
Utricularia simulans
Utricularia subulata
Utricularia trichophylla
Utricularia tricolor
Utricularia triloba
Utricularia warmingii
Lindernia crustacea
Lindernia diffusa
Lindernia microcalyx
Lindernia rotundifolia
Torenia thouarsii
Spigelia anthelmia
Ammannia auriculata
Ammannia latifolia
Cuphea antisyphilitica
Cuphea arenarioides
Cuphea campestris
Cuphea carthagenensis
Cuphea circaeoides
Cuphea fruticosa
Cuphea ingrata
Cuphea melvilla
Cuphea racemosa
Cuphea repens
Cuphea sessiliflora
Heimia myrtifolia
Lythrum hyssopifolia
Pleurophora anomala
Rotala mexicana
Rotala ramosior
Rotala rotundifolia
Byrsonima intermedia
Byttneria genistella
Byttneria palustris
